department,Topic,Count,Name,Representation,Representative_Docs
MUMH: 8th Floor,30,24,30_pain when i_when i saw_i saw_medicine wasnt,"['pain when i', 'when i saw', 'i saw', 'medicine wasnt', 'i saw him', 'he was', 'he was vibrating', 'enough and he', 'enough and', 'and he was']","['A patients pain medicine wasn’t strong enough and he was vibrating with pain when I saw him', 'A patients pain medicine wasn’t strong enough and he was vibrating with pain when I saw him', 'A patients pain medicine wasn’t strong enough and he was vibrating with pain when I saw him']"
MUMH: 8th Floor,31,23,31_to fulfill their_sometimes waited for_their request_so patients sometimes,"['to fulfill their', 'sometimes waited for', 'their request', 'so patients sometimes', 'so patients', 'a nurse to', 'patients sometimes waited', 'patients sometimes', 'to fulfill', 'sometimes waited']","['Sometimes nurses were very busy so patients sometimes waited for a nurse to fulfill their request.', 'Sometimes nurses were very busy so patients sometimes waited for a nurse to fulfill their request.', 'Sometimes nurses were very busy so patients sometimes waited for a nurse to fulfill their request.']"
MUMH: 8th Floor,32,23,32_the nurse are_nurse are understaffed_nurse are_are understaffed,"['the nurse are', 'nurse are understaffed', 'nurse are', 'are understaffed', 'understaffed the', 'understaffed the nurse', 'are understaffed the', 'the nurse', '', '']","['The nurse are understaffed', 'The nurse are understaffed', 'The nurse are understaffed']"
MUMH: 8th Floor,33,23,33_angered a_angered a patient_a patient because_patient because,"['angered a', 'angered a patient', 'a patient because', 'patient because', 'the dietary', 'a patient', 'wouldnt let', 'want to waste', 'valuable time', 'the dietary staff']","['The dietary rules angered a patient, because it wouldn’t let the dietary staff to pass out straws; it had to be nurses. This angered a patient because he didn’t want to waste nurse’s valuable time', 'The dietary rules angered a patient, because it wouldn’t let the dietary staff to pass out straws; it had to be nurses. This angered a patient because he didn’t want to waste nurse’s valuable time', 'The dietary rules angered a patient, because it wouldn’t let the dietary staff to pass out straws; it had to be nurses. This angered a patient because he didn’t want to waste nurse’s valuable time']"
MUMH: 8th Floor,34,23,34_received conflicting_patients received conflicting_patients received_received conflicting doctors,"['received conflicting', 'patients received conflicting', 'patients received', 'received conflicting doctors', 'doctors instructions', 'conflicting doctors instructions', 'conflicting doctors', 'instructions patients received', 'instructions patients', 'doctors instructions patients']","['Patients received conflicting doctors instructions', 'Patients received conflicting doctors instructions', 'Patients received conflicting doctors instructions']"
MUMH: 8th Floor,35,23,35_before a nurse_wait before_to wait before_nurse came to,"['before a nurse', 'wait before', 'to wait before', 'nurse came to', 'to help her', 'help her', 'a nurse came', 'wait before a', 'to help', 'before a']","['A patient had to wait before a nurse came to help her.', 'A patient had to wait before a nurse came to help her.', 'A patient had to wait before a nurse came to help her.']"
MUMH: 8th Floor,36,23,36_few patients noted_patients noted that_noted that_few patients,"['few patients noted', 'patients noted that', 'noted that', 'few patients', 'a few patients', 'a few', 'noted that food', 'patients noted', 'quality was', 'food quality was']","['A few patients noted that food quality was subpar', 'A few patients noted that food quality was subpar', 'A few patients noted that food quality was subpar']"
MUMH: 8th Floor,37,23,37_not have any_not have_have any complaintw_have any,"['not have any', 'not have', 'have any complaintw', 'have any', 'did not have', 'complaintw today', 'any complaintw today', 'any complaintw', 'today patients', 'today patients did']","['patients did not have any complaintw today', 'patients did not have any complaintw today', 'patients did not have any complaintw today']"
MUMH: 8th Floor,38,23,38_werent many_werent many patients_there werent many_there werent,"['werent many', 'werent many patients', 'there werent many', 'there werent', 'many patients', 'and there', 'west side so', 'patients to', 'east side of', 'side so']","['The east side of the floor was closed, and there weren’t many patients in the west side, so there weren’t many patients to visit.', 'The east side of the floor was closed, and there weren’t many patients in the west side, so there weren’t many patients to visit.', 'The east side of the floor was closed, and there weren’t many patients in the west side, so there weren’t many patients to visit.']"
MUMH: 8th Floor,39,23,39_wanted to_to be discharged_wanted to be_patient wanted to,"['wanted to', 'to be discharged', 'wanted to be', 'patient wanted to', 'patient wanted', 'discharged earlier', 'be discharged earlier', 'be discharged', 'earlier patient wanted', 'earlier patient']","['Patient wanted to be discharged earlier', 'Patient wanted to be discharged earlier', 'Patient wanted to be discharged earlier']"
MUMH: 8th Floor,40,23,40_food was not_was not good_the food was_not good for,"['food was not', 'was not good', 'the food was', 'not good for', 'not good', 'good for some', 'good for', 'food was', 'some patients the', 'patients the food']","['The food was not good for some patients', 'The food was not good for some patients', 'The food was not good for some patients']"
MUMH: 8th Floor,41,23,41_wanted snackmeal_and wanted snackmeal_wanted snackmeal patient_snackmeal patient was,"['wanted snackmeal', 'and wanted snackmeal', 'wanted snackmeal patient', 'snackmeal patient was', 'snackmeal patient', 'was hungry', 'patient was hungry', 'was hungry and', 'hungry and wanted', 'hungry and']","['Patient was hungry and wanted snack/meal', 'Patient was hungry and wanted snack/meal', 'Patient was hungry and wanted snack/meal']"
MUMH: 8th Floor,42,23,42_with service_patient had delays_had delays with_had delays,"['with service', 'patient had delays', 'had delays with', 'had delays', 'delays with service', 'delays with', 'service one patient', 'service one', 'with service one', 'one patient had']","['One patient had delays with service', 'One patient had delays with service', 'One patient had delays with service']"
MUMH: 9 East,0,224,0_no negative_no negative events_negative events_negative events no,"['no negative', 'no negative events', 'negative events', 'negative events no', 'events no negative', 'events no', '', '', '', '']","['no negative events', 'no negative events', 'No negative events']"
MUMH: 9 East,1,113,1_i was_was not_it was_patients that,"['i was', 'was not', 'it was', 'patients that', 'unfortunate that i', 'such as purple', 'with patients', 'know and also', 'sometimes i', 'signs such as']","['Sometimes I was not able to interact with patients that had certain signs such as purple diamonds or infectious disease, and I was told not to go in these rooms. It was not exactly a negative event but it was interesting to know and also unfortunate that I could not help in any way.', 'Sometimes I was not able to interact with patients that had certain signs such as purple diamonds or infectious disease, and I was told not to go in these rooms. It was not exactly a negative event but it was interesting to know and also unfortunate that I could not help in any way.', 'Sometimes I was not able to interact with patients that had certain signs such as purple diamonds or infectious disease, and I was told not to go in these rooms. It was not exactly a negative event but it was interesting to know and also unfortunate that I could not help in any way.']"
MUMH: 9 East,2,112,2_i had trouble_supplies and_seemed particularly_particularly busy today,"['i had trouble', 'supplies and', 'seemed particularly', 'particularly busy today', 'particularly busy', 'nurses seemed particularly', 'nurses seemed', 'supplies and the', 'i had', 'had trouble finding']","['I had trouble finding supplies, and the nurses seemed particularly busy today.', 'I had trouble finding supplies, and the nurses seemed particularly busy today.', 'I had trouble finding supplies, and the nurses seemed particularly busy today.']"
MUMH: 9 East,3,112,3_nothing all_nothing all great_all great_great nothing all,"['nothing all', 'nothing all great', 'all great', 'great nothing all', 'great nothing', 'all great nothing', '', '', '', '']","['Nothing all great', 'Nothing all great', 'Nothing all great']"
MUMH: 9 East,4,112,4_check in a_in a little_felt like_check in,"['check in a', 'in a little', 'felt like', 'check in', 'a little more', 'they could check', 'felt like they', 'in a', 'like they', 'could check in']","['felt like they could check in a little more', 'felt like they could check in a little more', 'felt like they could check in a little more']"
MUMH: 9 East,5,112,5_of the patients_of the_the patients seemed_the patients,"['of the patients', 'of the', 'the patients seemed', 'the patients', 'seemed a little', 'seemed a', 'patients seemed a', 'patients seemed', 'one of the', 'one of']","['One of the patients seemed a little irked about waiting on a doctor visit.', 'One of the patients seemed a little irked about waiting on a doctor visit.', 'One of the patients seemed a little irked about waiting on a doctor visit.']"
MUMH: 9 East,6,97,6_who were_who were loud_were loud_patients who were,"['who were', 'who were loud', 'were loud', 'patients who were', 'patients who', 'were loud patients', 'loud patients who', 'loud patients', '', '']","['Patients who were loud', 'Patients who were loud', 'Patients who were loud']"
MUMH: 9 East,7,97,7_long periods with_in previous shifts_than in previous_previous shifts,"['long periods with', 'in previous shifts', 'than in previous', 'previous shifts', 'periods with less', 'periods with', 'though better', 'long periods', 'less to do', 'less to']","['Long periods with less to do, though better than in previous shifts', 'Long periods with less to do, though better than in previous shifts', 'Long periods with less to do, though better than in previous shifts']"
MUMH: 9 East,8,15,8_long periods with_in previous shifts_than in previous_previous shifts,"['long periods with', 'in previous shifts', 'than in previous', 'previous shifts', 'periods with less', 'periods with', 'though better', 'long periods', 'less to do', 'less to']","['Long periods with less to do, though better than in previous shifts', 'Long periods with less to do, though better than in previous shifts', 'Long periods with less to do, though better than in previous shifts']"
MUMH: 9 East,9,15,9_who were_who were loud_were loud_patients who were,"['who were', 'who were loud', 'were loud', 'patients who were', 'patients who', 'were loud patients', 'loud patients who', 'loud patients', '', '']","['Patients who were loud', 'Patients who were loud', 'Patients who were loud']"
MUMH: Emergency Department,0,54,0_a bed_told me to_in the_in the er,"['a bed', 'told me to', 'in the', 'in the er', 'khakis in', 'triage team', 'me to', 'me to go', 'my khakis', 'my khakis in']","['I experienced this personally - I noticed a bed bug climbing my khakis in the ER. Thankfully the triage team reacted appropriately and told me to go home and decontaminate my things.', 'I experienced this personally - I noticed a bed bug climbing my khakis in the ER. Thankfully the triage team reacted appropriately and told me to go home and decontaminate my things.', 'I experienced this personally - I noticed a bed bug climbing my khakis in the ER. Thankfully the triage team reacted appropriately and told me to go home and decontaminate my things.']"
MUMH: Emergency Department,1,54,1_doctors and checking_long wait times_hear back from_hear back,"['doctors and checking', 'long wait times', 'hear back from', 'hear back', 'from doctors and', 'from doctors', 'doctors and', 'checking out', 'back from doctors', 'back from']","['Long wait times to hear back from doctors and checking out.', 'Long wait times to hear back from doctors and checking out.', 'Long wait times to hear back from doctors and checking out.']"
MUMH: Emergency Department,2,54,2_patients often report_its very_the floor_report waiting a,"['patients often report', 'its very', 'the floor', 'report waiting a', 'report waiting', 'the team', 'on the floor', 'on the', 'often report waiting', 'often report']","['Patients often report waiting a while for the team members to get back to them, especially when it’s very busy on the floor', 'Patients often report waiting a while for the team members to get back to them, especially when it’s very busy on the floor', 'Patients often report waiting a while for the team members to get back to them, especially when it’s very busy on the floor']"
MUMH: Emergency Department,3,54,3_sometimes the nurses_were too busy_nurses were_sometimes the,"['sometimes the nurses', 'were too busy', 'nurses were', 'sometimes the', 'my questions', 'busy to answer', 'busy to', 'answer my questions', 'answer my', 'nurses were too']","['Sometimes the nurses were too busy to answer my questions.', 'Sometimes the nurses were too busy to answer my questions.', 'Sometimes the nurses were too busy to answer my questions.']"
MUMH: Emergency Department,4,54,4_were long_wait times were_were long for_times were long,"['were long', 'wait times were', 'were long for', 'times were long', 'times were', 'long for nurses', 'long for', 'and doctors wait', 'doctors wait', 'doctors wait times']","['Wait times were long for nurses and doctors', 'Wait times were long for nurses and doctors', 'Wait times were long for nurses and doctors']"
MUMH: Emergency Department,5,54,5_on drugs_were around a_drugs was an_and was on,"['on drugs', 'were around a', 'drugs was an', 'and was on', 'and the police', 'an agitated and', 'an agitated', 'agitated and the', 'agitated and', 'a bit tnese']","['Someone who was in custody and was on drugs was an agitated and the police were around. A bit tnese', 'Someone who was in custody and was on drugs was an agitated and the police were around. A bit tnese', 'Someone who was in custody and was on drugs was an agitated and the police were around. A bit tnese']"
MUMH: Emergency Department,6,54,6_patients had to_to get to_rush hour_patients had,"['patients had to', 'to get to', 'rush hour', 'patients had', 'get to them', 'get to', 'for team members', 'while for team', 'for team', 'during rush hour']","['Patients had to wait a while for team members to get to them, especially during rush hour', 'Patients had to wait a while for team members to get to them, especially during rush hour', 'Patients had to wait a while for team members to get to them, especially during rush hour']"
MUMH: Emergency Department,7,54,7_a visitor_a visitor allowed_was upset_visitor allowed and,"['a visitor', 'a visitor allowed', 'was upset', 'visitor allowed and', 'visitor allowed', 'upset about not', 'upset about', 'to not get', 'to not', 'someone was upset']","['Someone was upset about not having a visitor allowed and decided to not get seen', 'Someone was upset about not having a visitor allowed and decided to not get seen', 'Someone was upset about not having a visitor allowed and decided to not get seen']"
MUMH: Emergency Department,8,54,8_hours the_hours the patients_rush hours the_feel like they,"['hours the', 'hours the patients', 'rush hours the', 'feel like they', 'like they are', 'often feel', 'the staff to', 'the staff', 'they are waiting', 'for the staff']","['The patients often feel like they are waiting a while for the staff to get back to them, especially during rush hours', 'The patients often feel like they are waiting a while for the staff to get back to them, especially during rush hours', 'The patients often feel like they are waiting a while for the staff to get back to them, especially during rush hours']"
MUMH: Emergency Department,9,54,9_often need to_patients often need_need to_often need,"['often need to', 'patients often need', 'need to', 'often need', 'need to wait', 'rush hours patients', 'hours patients often', 'hours patients', 'during rush hours', 'rush hours']","['Patients often need to wait a while for staff members to get back to them, especially during rush hours', 'Patients often need to wait a while for staff members to get back to them, especially during rush hours', 'Patients often need to wait a while for staff members to get back to them, especially during rush hours']"
MUMH: Emergency Department,10,54,10_one visitor started_not with_to yell at_to yell,"['one visitor started', 'not with', 'to yell at', 'to yell', 'team members but', 'yell at us', 'started to yell', 'started to', 'visitor started', 'one visitor']","['Not with team members but one visitor started to yell at us', 'Not with team members but one visitor started to yell at us', 'Not with team members but one visitor started to yell at us']"
MUMH: Emergency Department,11,53,11_patients often have_for what they_are small things_doctors to,"['patients often have', 'for what they', 'are small things', 'doctors to', 'are small', 'and doctors to', 'doctors to get', 'what they think', 'while for nurses', 'for what']","['The patients often have to wait a while for nurses and doctors to get back to them, even for what they think are small things', 'The patients often have to wait a while for nurses and doctors to get back to them, even for what they think are small things', 'The patients often have to wait a while for nurses and doctors to get back to them, even for what they think are small things']"
MUMH: Emergency Department,12,53,12_patients often felt_for small things_often felt like_often felt,"['patients often felt', 'for small things', 'often felt like', 'often felt', 'needed to wait', 'needed to', 'they needed', 'they needed to', 'like they needed', 'for small']","['The patients often felt like they needed to wait a while for staff members to get back to them, even for small things', 'The patients often felt like they needed to wait a while for staff members to get back to them, even for small things', 'The patients often felt like they needed to wait a while for staff members to get back to them, even for small things']"
MUMH: Emergency Department,13,53,13_about his_about his religion_that was_secretary asked patient,"['about his', 'about his religion', 'that was', 'secretary asked patient', 'secretary asked', 'religion and i', 'religion and', 'patient about his', 'patient about', 'was appropriate or']","['Secretary asked patient about his religion and I didn’t know if that was appropriate or not', 'Secretary asked patient about his religion and I didn’t know if that was appropriate or not', 'Secretary asked patient about his religion and I didn’t know if that was appropriate or not']"
MUMH: Emergency Department,14,53,14_patients felt like_they had to_they had_patients felt,"['patients felt like', 'they had to', 'they had', 'patients felt', 'like they had', 'the patients felt', 'felt like', 'felt like they', 'had to wait', 'staff to']","['The patients felt like they had to wait a while for the staff to get back to them', 'The patients felt like they had to wait a while for the staff to get back to them', 'The patients felt like they had to wait a while for the staff to get back to them']"
MUMH: Emergency Department,15,53,15_they are_often feel_are waiting_are waiting a,"['they are', 'often feel', 'are waiting', 'are waiting a', 'feel like', 'feel like they', 'patients often feel', 'they are waiting', 'often feel like', 'like they are']","['The patients often feel like they are waiting a while for staff members to get back to them', 'The patients often feel like they are waiting a while for staff members to get back to them', 'The patients often feel like they are waiting a while for staff members to get back to them']"
MUMH: Emergency Department,16,53,16_hall bed_a brine_we got there_there was a,"['hall bed', 'a brine', 'we got there', 'there was a', 'there there was', 'to another hall', 'there was', 'was a brine', 'to another', 'the right of']","['A patient was assigned hall bed, but when we got there there was a brine cup and the right of patient didn’t seem happy, moved patient to another hall bed', 'A patient was assigned hall bed, but when we got there there was a brine cup and the right of patient didn’t seem happy, moved patient to another hall bed', 'A patient was assigned hall bed, but when we got there there was a brine cup and the right of patient didn’t seem happy, moved patient to another hall bed']"
MUMH: Emergency Department,17,53,17_nurse didnt_very inviting to_but it_maybe she,"['nurse didnt', 'very inviting to', 'but it', 'maybe she', 'was stressed though', 'me a', 'me a little', 'was stressed', 'nurse didnt seem', 'patients like']","['The triage nurse didn’t seem very inviting to patients, like a bit sharp in tone, maybe she was stressed though, but it did make me a little uncomfortable', 'The triage nurse didn’t seem very inviting to patients, like a bit sharp in tone, maybe she was stressed though, but it did make me a little uncomfortable', 'The triage nurse didn’t seem very inviting to patients, like a bit sharp in tone, maybe she was stressed though, but it did make me a little uncomfortable']"
MUMH: Emergency Department,18,27,18_waits for_waits for doctor_long waits for_long waits,"['waits for', 'waits for doctor', 'long waits for', 'long waits', 'for doctor updates', 'for doctor', 'doctor updates', 'updates long waits', 'updates long', 'doctor updates long']","['Long waits for doctor updates', 'Long waits for doctor updates', 'Long waits for doctor updates']"
MUMH: Emergency Department,19,27,19_waits for_waits for doctor_long waits for_long waits,"['waits for', 'waits for doctor', 'long waits for', 'long waits', 'for doctor updates', 'for doctor', 'doctor updates', 'updates long waits', 'updates long', 'doctor updates long']","['Long waits for doctor updates', 'Long waits for doctor updates', 'Long waits for doctor updates']"
