department,Topic,Count,Name,Representation,Representative_Docs
MUMH: 8th Floor,10,18,10_had awesome experiences_experiences with_the nurses everyone_patient had awesome,"['had awesome experiences', 'experiences with', 'the nurses everyone', 'patient had awesome', 'nurses everyone was', 'nurses everyone', 'was extremely kind', 'experiences with the', 'was extremely', 'everyone was extremely']","['One patient had awesome experiences with the nurses, everyone was extremely kind and responsive', 'One patient had awesome experiences with the nurses, everyone was extremely kind and responsive', 'One patient had awesome experiences with the nurses, everyone was extremely kind and responsive']"
MUMH: 8th Floor,11,18,11_with the friendly_the friendly nurses_the friendly_speaking with the,"['with the friendly', 'the friendly nurses', 'the friendly', 'speaking with the', 'speaking with', 'patient enjoyed speaking', 'friendly nurses', 'enjoyed speaking with', 'enjoyed speaking', 'nurses patient enjoyed']","['Patient enjoyed speaking with the friendly nurses', 'Patient enjoyed speaking with the friendly nurses', 'Patient enjoyed speaking with the friendly nurses']"
MUMH: 8th Floor,12,18,12_almost all patients_awesome service extremely_service extremely kind_almost all,"['almost all patients', 'awesome service extremely', 'service extremely kind', 'almost all', 'all patients had', 'extremely kind nurses', 'had awesome service', 'kind nurses', 'patients had', 'patients had awesome']","['Almost all patients had awesome service, extremely kind nurses', 'Almost all patients had awesome service, extremely kind nurses', 'Almost all patients had awesome service, extremely kind nurses']"
MUMH: 8th Floor,13,18,13_thanked me_me for helping_said she_i asked the,"['thanked me', 'me for helping', 'said she', 'i asked the', 'while but', 'medications she', 'medications she said', 'nurses so', 'nurses so she', 'once i']","['A patient thanked me for helping get her medications; she said she had been asking for them for a while but she only got them once I asked the nurses, so she thanked me.', 'A patient thanked me for helping get her medications; she said she had been asking for them for a while but she only got them once I asked the nurses, so she thanked me.', 'A patient thanked me for helping get her medications; she said she had been asking for them for a while but she only got them once I asked the nurses, so she thanked me.']"
MUMH: 8th Floor,14,18,14_me for an_and talked_talked to me_talked to,"['me for an', 'and talked', 'talked to me', 'talked to', 'sweet and talked', 'for an', 'and talked to', 'for an hour', 'to me for', 'very sweet']","['The patients were very sweet and talked to me for an hour', 'The patients were very sweet and talked to me for an hour', 'The patients were very sweet and talked to me for an hour']"
MUMH: 8th Floor,15,18,15_snacks patient appreciated_snacks patient_the snacks patient_the snacks,"['snacks patient appreciated', 'snacks patient', 'the snacks patient', 'the snacks', 'appreciated the snacks', 'patient appreciated the', 'appreciated the', 'patient appreciated', '', '']","['Patient appreciated the snacks.', 'Patient appreciated the snacks.', 'Patient appreciated the snacks.']"
MUMH: 8th Floor,16,18,16_many hospitals_to many hospitals_in terms_been to many,"['many hospitals', 'to many hospitals', 'in terms', 'been to many', 'attention given', 'and none compare', 'and none', 'and attention given', 'and attention', 'a patient said']","['A patient said they’ve been to many hospitals and none compare to MedStar in terms of care and attention given', 'A patient said they’ve been to many hospitals and none compare to MedStar in terms of care and attention given', 'A patient said they’ve been to many hospitals and none compare to MedStar in terms of care and attention given']"
MUMH: 8th Floor,17,18,17_was really sweet_hour and_was really_talked with a,"['was really sweet', 'hour and', 'was really', 'talked with a', 'talked with', 'sweet and friendly', 'she was really', 'really sweet and', 'really sweet', 'patient for almost']","['I talked with a patient for almost an hour, and she was really sweet and friendly.', 'I talked with a patient for almost an hour, and she was really sweet and friendly.', 'I talked with a patient for almost an hour, and she was really sweet and friendly.']"
MUMH: 8th Floor,18,18,18_advice and_wished me well_and wished_advice and wished,"['advice and', 'wished me well', 'and wished', 'advice and wished', 'great life advice', 'and wished me', 'me well', 'great life', 'long talks with', 'with several patients']","['I had nice long talks with several patients today who gave me great life advice and wished me well in the future.', 'I had nice long talks with several patients today who gave me great life advice and wished me well in the future.', 'I had nice long talks with several patients today who gave me great life advice and wished me well in the future.']"
MUMH: 8th Floor,19,18,19_snacks graham crackers_snacks graham_the snacks graham_graham crackers,"['snacks graham crackers', 'snacks graham', 'the snacks graham', 'graham crackers', 'graham crackers patient', 'crackers patient appreciated', 'crackers patient', 'the snacks', 'appreciated the snacks', 'patient appreciated the']","['Patient appreciated the snacks / graham crackers.', 'Patient appreciated the snacks / graham crackers.', 'Patient appreciated the snacks / graham crackers.']"
MUMH: 8th Floor,20,18,20_nurses was very_quite a few_even though_answer any questions,"['nurses was very', 'quite a few', 'even though', 'answer any questions', 'even though i', 'had even though', 'any questions i', 'any questions', 'had quite a', 'answer any']","['One of the nurses was very kind and was willing to answer any questions I had even though I had quite a few.', 'One of the nurses was very kind and was willing to answer any questions I had even though I had quite a few.', 'One of the nurses was very kind and was willing to answer any questions I had even though I had quite a few.']"
MUMH: 8th Floor,21,18,21_had nice conversations_all the patients_nice conversations with_nice conversations,"['had nice conversations', 'all the patients', 'nice conversations with', 'nice conversations', 'wonderful and had', 'conversations with me', 'and had nice', 'patients were wonderful', 'and had', 'all the']","['All the patients were wonderful and had nice conversations with me', 'All the patients were wonderful and had nice conversations with me', 'All the patients were wonderful and had nice conversations with me']"
MUMH: 8th Floor,22,18,22_me some really_for uni_nurses gave me_nurses gave,"['me some really', 'for uni', 'nurses gave me', 'nurses gave', 'some really', 'good advice for', 'good advice', 'really good advice', 'really good', 'advice for uni']","['One of the nurses gave me some really good advice for uni.', 'One of the nurses gave me some really good advice for uni.', 'One of the nurses gave me some really good advice for uni.']"
MUMH: 8th Floor,23,18,23_for volunteering_me for volunteering_thanked me for_thanked me,"['for volunteering', 'me for volunteering', 'thanked me for', 'thanked me', 'me for', 'of the', 'and thanked me', 'as well', 'nice and', 'also one']","['Many of the patients were very nice and thanked me for volunteering. Also, one of the CNAs thanked me for volunteering, as well.', 'Many of the patients were very nice and thanked me for volunteering. Also, one of the CNAs thanked me for volunteering, as well.', 'Many of the patients were very nice and thanked me for volunteering. Also, one of the CNAs thanked me for volunteering, as well.']"
MUMH: 8th Floor,24,18,24_were very helpful_very helpful and_very helpful_the nurses were,"['were very helpful', 'very helpful and', 'very helpful', 'the nurses were', 'helpful and friendly', 'helpful and', 'friendly the nurses', 'friendly the', 'and friendly the', 'and friendly']","['The nurses were very helpful and friendly.', 'The nurses were very helpful and friendly.', 'The nurses were very helpful and friendly.']"
MUMH: 8th Floor,25,18,25_how they had_great experience_shared how they_shared how,"['how they had', 'great experience', 'shared how they', 'shared how', 'patients shared how', 'patients shared', 'nursing team', 'the nursing team', 'great experience with', 'with the nursing']","['All patients shared how they had a great experience with the nursing team.', 'All patients shared how they had a great experience with the nursing team.', 'All patients shared how they had a great experience with the nursing team.']"
MUMH: 8th Floor,26,18,26_a straw_was very serious_and no one_about germs and,"['a straw', 'was very serious', 'and no one', 'about germs and', 'one else would', 'gave him a', 'else would', 'else would take', 'gave him', 'him seriously']","['This patient was so happy I gave him a straw, since he was very serious about germs and no one else would take him seriously.', 'This patient was so happy I gave him a straw, since he was very serious about germs and no one else would take him seriously.', 'This patient was so happy I gave him a straw, since he was very serious about germs and no one else would take him seriously.']"
MUMH: 8th Floor,27,18,27_nice nurses were_nice nurses_extremely nice nurses_were extremely nice,"['nice nurses were', 'nice nurses', 'extremely nice nurses', 'were extremely nice', 'extremely nice', 'were extremely', 'nurses were extremely', 'nurses were', '', '']","['Nurses were extremely nice', 'Nurses were extremely nice', 'Nurses were extremely nice']"
MUMH: 8th Floor,28,18,28_all excellent_was very good_nurses were all_excellent also mentioned,"['all excellent', 'was very good', 'nurses were all', 'excellent also mentioned', 'excellent also', 'center was', 'and nurses were', 'and nurses', 'also mentioned that', 'also mentioned']","['Patient said the PAs and nurses were all excellent. Also mentioned that the Good Sam rehab center was very good.', 'Patient said the PAs and nurses were all excellent. Also mentioned that the Good Sam rehab center was very good.', 'Patient said the PAs and nurses were all excellent. Also mentioned that the Good Sam rehab center was very good.']"
MUMH: 8th Floor,29,18,29_her surgery overall_good and she_she felt good_she felt,"['her surgery overall', 'good and she', 'she felt good', 'she felt', 'said anesthesia was', 'said anesthesia', 'patient said anesthesia', 'with her surgery', 'was good', 'her surgery']","['Patient said anesthesia was good and she felt good with her surgery overall.', 'Patient said anesthesia was good and she felt good with her surgery overall.', 'Patient said anesthesia was good and she felt good with her surgery overall.']"
MUMH: 8th Floor,30,18,30_about the_hospital and its_things to_things to say,"['about the', 'hospital and its', 'things to', 'things to say', 'say about the', 'say about', 'r fr eat', 'r fr', 'patient had r', 'to say about']","['Every patient had r fr eat things to say about the hospital and its staff', 'Every patient had r fr eat things to say about the hospital and its staff', 'Every patient had r fr eat things to say about the hospital and its staff']"
MUMH: 8th Floor,31,18,31_were treated_they were treated_they loved how_they loved,"['were treated', 'they were treated', 'they loved how', 'they loved', 'loved how they', 'loved how', 'how they were', 'treated they loved', 'treated they', 'were treated they']","['They loved how they were treated', 'They loved how they were treated', 'They loved how they were treated']"
MUMH: 8th Floor,32,18,32_kind and helpful_patient mentioned_very understanding nurses_very understanding,"['kind and helpful', 'patient mentioned', 'very understanding nurses', 'very understanding', 'understanding nurses', 'patient mentioned nurses', 'and helpful', 'and helpful very', 'mentioned nurses were', 'mentioned nurses']","['Patient mentioned nurses were extremely kind and helpful. Very understanding nurses', 'Patient mentioned nurses were extremely kind and helpful. Very understanding nurses', 'Patient mentioned nurses were extremely kind and helpful. Very understanding nurses']"
MUMH: 8th Floor,33,18,33_at union memorial_union memorial hospital_union memorial_so good at,"['at union memorial', 'union memorial hospital', 'union memorial', 'so good at', 'so good', 'memorial hospital', 'is so good', 'is so', 'good at union', 'good at']","['Food is so good at Union Memorial Hospital', 'Food is so good at Union Memorial Hospital', 'Food is so good at Union Memorial Hospital']"
MUMH: 8th Floor,34,18,34_a nurse_were very very_asked a nurse_liked that,"['a nurse', 'were very very', 'asked a nurse', 'liked that', 'when i asked', 'needs help', 'needs help was', 'nurse to', 'nurse to come', 'when i']","['I liked that when I asked a nurse to come help a patient, they were very very friendly and responsive to any of the patient’s needs. Help was given very quickly.', 'I liked that when I asked a nurse to come help a patient, they were very very friendly and responsive to any of the patient’s needs. Help was given very quickly.', 'I liked that when I asked a nurse to come help a patient, they were very very friendly and responsive to any of the patient’s needs. Help was given very quickly.']"
MUMH: 8th Floor,35,18,35_conversated like_nice conversated like_nice conversated_like awesome peers,"['conversated like', 'nice conversated like', 'nice conversated', 'like awesome peers', 'like awesome', 'extremely nice conversated', 'conversated like awesome', 'awesome peers', 'awesome peers nurses', 'peers nurses were']","['Nurses were extremely nice, conversated like awesome peers', 'Nurses were extremely nice, conversated like awesome peers', 'Nurses were extremely nice, conversated like awesome peers']"
MUMH: 8th Floor,36,18,36_had been feeling_that made_and she told_but i that,"['had been feeling', 'that made', 'and she told', 'but i that', 'but i', 'been feeling', 'before but i', 'before but', 'been feeling sad', 'feeling sad']","['I had a nice conversation with a patient, and she told me that she had been feeling sad before, but I that made her feel better.', 'I had a nice conversation with a patient, and she told me that she had been feeling sad before, but I that made her feel better.', 'I had a nice conversation with a patient, and she told me that she had been feeling sad before, but I that made her feel better.']"
MUMH: 8th Floor,37,18,37_team assemble_team assemble care_packages for patients_packages for,"['team assemble', 'team assemble care', 'packages for patients', 'packages for', 'helped team assemble', 'helped team', 'for patients', 'care packages for', 'care packages', 'assemble care packages']","['Helped team assemble care packages for patients', 'Helped team assemble care packages for patients', 'Helped team assemble care packages for patients']"
MUMH: 8th Floor,38,18,38_healthcare workers and_frequently checking in_support from healthcare_support from,"['healthcare workers and', 'frequently checking in', 'support from healthcare', 'support from', 'patient appreciated support', 'on them', 'in on them', 'in on', 'volunteers frequently', 'healthcare workers']","['Patient appreciated support from healthcare workers and volunteers frequently checking in on them.', 'Patient appreciated support from healthcare workers and volunteers frequently checking in on them.', 'Patient appreciated support from healthcare workers and volunteers frequently checking in on them.']"
MUMH: 8th Floor,39,18,39_all of_were very open_and all_open and,"['all of', 'were very open', 'and all', 'open and', 'help me', 'my questions immediately', 'willing to help', 'of my', 'of my questions', 'open and willing']","['The team members were very open and willing to help me. They answered any and all of my questions immediately regarding the patients or in general.', 'The team members were very open and willing to help me. They answered any and all of my questions immediately regarding the patients or in general.', 'The team members were very open and willing to help me. They answered any and all of my questions immediately regarding the patients or in general.']"
MUMH: 8th Floor,40,18,40_the doctors_the doctors are_doctors are great_doctors are,"['the doctors', 'the doctors are', 'doctors are great', 'doctors are', 'are great', 'great the doctors', 'great the', 'are great the', '', '']","['The doctors are great!', 'The doctors are great!', 'The doctors are great!']"
MUMH: 8th Floor,41,18,41_nurses were the_whole team of_a whole_diagnose a,"['nurses were the', 'whole team of', 'a whole', 'diagnose a', 'and a', 'class and', 'best a', 'best a patient', 'help diagnose', 'world class and']","['Nurses were the best a patient has ever seen. Doctors were world class, and a whole team of them help diagnose a patient.', 'Nurses were the best a patient has ever seen. Doctors were world class, and a whole team of them help diagnose a patient.', 'Nurses were the best a patient has ever seen. Doctors were world class, and a whole team of them help diagnose a patient.']"
MUMH: 8th Floor,42,18,42_for the floors_connie gave_me the census_me the,"['for the floors', 'connie gave', 'me the census', 'me the', 'gave me the', 'the floors', 'for the', 'floors and were', 'floors and', 'the census for']","['Connie gave me the census for the floors and were very nice.', 'Connie gave me the census for the floors and were very nice.', 'Connie gave me the census for the floors and were very nice.']"
MUMH: 8th Floor,43,18,43_i met the_the charge nurse_charge nurse who_charge nurse,"['i met the', 'the charge nurse', 'charge nurse who', 'charge nurse', 'nurse who', 'nurse who was', 'met the charge', 'the charge', 'who was very', 'who was']","['I met the charge nurse, who was very nice.', 'I met the charge nurse, who was very nice.', 'I met the charge nurse, who was very nice.']"
MUMH: 8th Floor,44,18,44_the nurses friendliness_nurses friendliness_appreciated the nurses_nurses friendliness patient,"['the nurses friendliness', 'nurses friendliness', 'appreciated the nurses', 'nurses friendliness patient', 'friendliness patient appreciated', 'friendliness patient', 'patient appreciated the', 'appreciated the', 'patient appreciated', 'the nurses']","[""Patient appreciated the nurse's friendliness."", ""Patient appreciated the nurse's friendliness."", ""Patient appreciated the nurse's friendliness.""]"
MUMH: 8th Floor,45,18,45_and downtoearth_nurses and techs_welcoming and_welcoming and downtoearth,"['and downtoearth', 'nurses and techs', 'welcoming and', 'welcoming and downtoearth', 'very welcoming and', 'very welcoming', 'very nice the', 'were very welcoming', 'the floor was', 'the floor']","['Everyone on the floor was very nice. The nurses and techs were very welcoming and down-to-earth.', 'Everyone on the floor was very nice. The nurses and techs were very welcoming and down-to-earth.', 'Everyone on the floor was very nice. The nurses and techs were very welcoming and down-to-earth.']"
MUMH: 8th Floor,46,18,46_the food is_the food_is yummy_food is yummy,"['the food is', 'the food', 'is yummy', 'food is yummy', 'yummy the', 'is yummy the', 'yummy the food', 'food is', '', '']","['The food is yummy', 'The food is yummy', 'The food is yummy']"
MUMH: 8th Floor,47,18,47_a premed_kind and even_to succeed as_to succeed,"['a premed', 'kind and even', 'to succeed as', 'to succeed', 'succeed as a', 'succeed as', 'some advice to', 'some advice', 'premed student', 'a premed student']","['Nurses were very kind and even gave me some advice to succeed as a premed student.', 'Nurses were very kind and even gave me some advice to succeed as a premed student.', 'Nurses were very kind and even gave me some advice to succeed as a premed student.']"
MUMH: 8th Floor,48,18,48_had awesome interactions_awesome interactions with_patient said they_nurses and doctors,"['had awesome interactions', 'awesome interactions with', 'patient said they', 'nurses and doctors', 'interactions with the', 'interactions with', 'every patient said', 'said they had', 'said they', 'awesome interactions']","['Every patient said they had awesome interactions with the nurses and doctors.', 'Every patient said they had awesome interactions with the nurses and doctors.', 'Every patient said they had awesome interactions with the nurses and doctors.']"
MUMH: 8th Floor,49,18,49_had a lot_was very friendly_lot in common_lot in,"['had a lot', 'was very friendly', 'lot in common', 'lot in', 'in common', 'music she', 'music she was', 'patient about music', 'great conversation with', 'great conversation']","['I had a great conversation with a patient about music. She was very friendly and we had a lot in common.', 'I had a great conversation with a patient about music. She was very friendly and we had a lot in common.', 'I had a great conversation with a patient about music. She was very friendly and we had a lot in common.']"
MUMH: 8th Floor,50,18,50_and remembering my_me with_with tasks_tasks and remembering,"['and remembering my', 'me with', 'with tasks', 'tasks and remembering', 'tasks and', 'remembering my name', 'remembering my', 'providing me with', 'providing me', 'with tasks and']","['Providing me with tasks and remembering my name.', 'Providing me with tasks and remembering my name.', 'Providing me with tasks and remembering my name.']"
MUMH: 8th Floor,51,18,51_to volunteers_talking to volunteers_talking to_patient enjoyed talking,"['to volunteers', 'talking to volunteers', 'talking to', 'patient enjoyed talking', 'enjoyed talking to', 'enjoyed talking', 'volunteers patient', 'to volunteers patient', 'volunteers patient enjoyed', 'patient enjoyed']","['Patient enjoyed talking to volunteers.', 'Patient enjoyed talking to volunteers.', 'Patient enjoyed talking to volunteers.']"
MUMH: 8th Floor,52,18,52_a very_with one of_break she_chat with one,"['a very', 'with one of', 'break she', 'chat with one', 'converse with', 'had a very', 'break she was', 'during our lunch', 'during our', 'chat with']","['I had a very nice chat with one of the staff members during our lunch break!! She was wonderful to converse with.', 'I had a very nice chat with one of the staff members during our lunch break!! She was wonderful to converse with.', 'I had a very nice chat with one of the staff members during our lunch break!! She was wonderful to converse with.']"
MUMH: 8th Floor,53,18,53_very informative_those in pt_those in_staff especially those,"['very informative', 'those in pt', 'those in', 'staff especially those', 'staff especially', 'very informative staff', 'informative staff especially', 'informative staff', 'in pt', 'especially those in']","['Very informative staff, especially those in PT.', 'Very informative staff, especially those in PT.', 'Very informative staff, especially those in PT.']"
MUMH: 8th Floor,54,18,54_staff they_loved staff they_all very friendly_all very,"['staff they', 'loved staff they', 'all very friendly', 'all very', 'one patient loved', 'patient loved', 'patient loved staff', 'loved staff', 'staff they were', 'they were all']","['One patient loved staff, they were all very friendly', 'One patient loved staff, they were all very friendly', 'One patient loved staff, they were all very friendly']"
MUMH: 8th Floor,55,18,55_kind and friendly_had long conversations_two patients who_two patients,"['kind and friendly', 'had long conversations', 'two patients who', 'two patients', 'patients who were', 'patients who', 'long conversations with', 'long conversations', 'who were', 'i had long']","['I had long conversations with two patients who were very kind and friendly.', 'I had long conversations with two patients who were very kind and friendly.', 'I had long conversations with two patients who were very kind and friendly.']"
MUMH: 8th Floor,56,17,56_he was_his hair_so happy in_but also really,"['he was', 'his hair', 'so happy in', 'but also really', 'awesome but', 'hair since he', 'happy in the', 'the end', 'he was getting', 'he was so']","['A patient asked me to cut his hair since he was getting married tomorrow. Awesome but also really sad experience for me, but he was so happy in the end.', 'A patient asked me to cut his hair since he was getting married tomorrow. Awesome but also really sad experience for me, but he was so happy in the end.', 'A patient asked me to cut his hair since he was getting married tomorrow. Awesome but also really sad experience for me, but he was so happy in the end.']"
MUMH: 8th Floor,57,17,57_invited me to_patient had a_most memorable experience_most memorable,"['invited me to', 'patient had a', 'most memorable experience', 'most memorable', 'memorable experience', 'me to attend', 'to attend', 'invited me', 'had a wedding', 'wedding and invited']","['One patient had a wedding and invited me to attend! Most memorable experience', 'One patient had a wedding and invited me to attend! Most memorable experience', 'One patient had a wedding and invited me to attend! Most memorable experience']"
MUMH: 8th Floor,58,17,58_about getting_was very positive_fighting with_me to keep,"['about getting', 'was very positive', 'fighting with', 'me to keep', 'fighting with my', 'back to her', 'getting back', 'with my life', 'life after her', 'with my']","['One patient was very positive about getting back to her life after her injury; sort of served as motivation for me to keep fighting with my life', 'One patient was very positive about getting back to her life after her injury; sort of served as motivation for me to keep fighting with my life', 'One patient was very positive about getting back to her life after her injury; sort of served as motivation for me to keep fighting with my life']"
MUMH: 9 East,0,73,0_about needs_when i notified_notified them about_nurses were,"['about needs', 'when i notified', 'notified them about', 'nurses were', 'with like', 'or getting', 'or getting up', 'patients when', 'patients when i', 'rapidly assisting']","['The nurses were great at rapidly assisting patients when I notified them about needs that I could not assist with like moving them to the bathroom or getting up to walk.', 'The nurses were great at rapidly assisting patients when I notified them about needs that I could not assist with like moving them to the bathroom or getting up to walk.', 'The nurses were great at rapidly assisting patients when I notified them about needs that I could not assist with like moving them to the bathroom or getting up to walk.']"
MUMH: 9 East,1,73,1_nice and receptive_nurse station_was as it_very nice and,"['nice and receptive', 'nurse station', 'was as it', 'very nice and', 'the nurse', 'the floor', 'was my', 'was my first', 'was very', 'was very nice']","['The nurse station was very nice and receptive to my endless question whether a patient could have food, drinks, or ice. They also showed me where everything was, as it was my first day on the floor.', 'The nurse station was very nice and receptive to my endless question whether a patient could have food, drinks, or ice. They also showed me where everything was, as it was my first day on the floor.', 'The nurse station was very nice and receptive to my endless question whether a patient could have food, drinks, or ice. They also showed me where everything was, as it was my first day on the floor.']"
MUMH: 9 East,2,73,2_a clinical_i would see_who shared his_with me both,"['a clinical', 'i would see', 'who shared his', 'with me both', 'with me', 'shared his', 'to me how', 'ugly in clinical', 'ugly in', 'stories in healthcare']","['Met a clinical engineer who shared his stories in healthcare with me - both good and bad. He explained to me how I would see the good, the bad, and the ugly in clinical care and I need to be prepared for that.', 'Met a clinical engineer who shared his stories in healthcare with me - both good and bad. He explained to me how I would see the good, the bad, and the ugly in clinical care and I need to be prepared for that.', 'Met a clinical engineer who shared his stories in healthcare with me - both good and bad. He explained to me how I would see the good, the bad, and the ugly in clinical care and I need to be prepared for that.']"
MUMH: 9 East,3,73,3_were well_patients were well_patients were_were well patients,"['were well', 'patients were well', 'patients were', 'were well patients', 'well patients were', 'well patients', '', '', '', '']","['Patients were well', 'Patients were well', 'Patients were well']"
MUMH: 9 East,4,73,4_more comfortable_the same_stopping by_same room multiple,"['more comfortable', 'the same', 'stopping by', 'same room multiple', 'same room', 'room multiple times', 'room multiple', 'was more', 'multiple times', 'more comfortable with']","['I was more comfortable with stopping by at the same room multiple times.', 'I was more comfortable with stopping by at the same room multiple times.', 'I was more comfortable with stopping by at the same room multiple times.']"
MUMH: 9 East,5,72,5_a nurse_with her work_a nurse was_and asked,"['a nurse', 'with her work', 'a nurse was', 'and asked', 'busy with', 'nurse was', 'asked me to', 'because they', 'her work', 'work and asked']","[""A nurse was busy with her work and asked me to feed one of her patients because they couldn't use their arms."", ""A nurse was busy with her work and asked me to feed one of her patients because they couldn't use their arms."", ""A nurse was busy with her work and asked me to feed one of her patients because they couldn't use their arms.""]"
MUMH: 9 East,6,72,6_a better_which gave me_discussion with one_better understanding of,"['a better', 'which gave me', 'discussion with one', 'better understanding of', 'care and being', 'being empathetic', 'discussion with', 'better understanding', 'and being', 'and being empathetic']","['I had a really nice discussion with one of the patients, which gave me a better understanding of patient care and being empathetic.', 'I had a really nice discussion with one of the patients, which gave me a better understanding of patient care and being empathetic.', 'I had a really nice discussion with one of the patients, which gave me a better understanding of patient care and being empathetic.']"
MUMH: 9 East,7,72,7_new beddingthey_very responsive if_a patient needed_beddingthey gave,"['new beddingthey', 'very responsive if', 'a patient needed', 'beddingthey gave', 'if i', 'i signaled', 'however team', 'however team members', 'much however team', 'were very responsive']","['Nothing much however team members were very responsive if I signaled that a patient needed new bedding(they gave me some new linens)', 'Nothing much however team members were very responsive if I signaled that a patient needed new bedding(they gave me some new linens)', 'Nothing much however team members were very responsive if I signaled that a patient needed new bedding(they gave me some new linens)']"
MUMH: 9 East,8,72,8_like staff was_generally fulfilled_staff was definitely_staff was,"['like staff was', 'generally fulfilled', 'staff was definitely', 'staff was', 'requests were generally', 'requests were', 'paying attention to', 'paying attention', 'was definitely', 'like staff']","['requests were generally fulfilled, felt like staff was definitely paying attention to them', 'requests were generally fulfilled, felt like staff was definitely paying attention to them', 'requests were generally fulfilled, felt like staff was definitely paying attention to them']"
MUMH: 9 East,9,72,9_dinner so i_helped with_with it_wanted dinner so,"['dinner so i', 'helped with', 'with it', 'wanted dinner so', 'wanted dinner', 'so i helped', 'so i', 'people wanted dinner', 'people wanted', 'i helped with']","['People wanted dinner so I helped with it', 'People wanted dinner so I helped with it', 'People wanted dinner so I helped with it']"
MUMH: 9 East,10,72,10_a great_things are purchased_experience in_are purchased for,"['a great', 'things are purchased', 'experience in', 'are purchased for', 'are purchased', 'and wherewhen things', 'and wherewhen', 'about the supply', 'about the', 'a great experience']","['I had a great experience in learning more about the supply system and where/when things are purchased for each floor.', 'I had a great experience in learning more about the supply system and where/when things are purchased for each floor.', 'I had a great experience in learning more about the supply system and where/when things are purchased for each floor.']"
